id,alias,name,image_url,is_closed,url,review_count,category_alias,category_title,rating,latitude,longitude,transactions,price,address1,address2,address3,city,zip_code,country,state,display_address,phone,display_phone,distance
8hbVqav2A52SAU_wmliIhg,gentleman-farmer-coventry,Gentleman Farmer,https://s3-media2.fl.yelpcdn.com/bphoto/AJ6ymqCFyxprsr9UAaj9iw/o.jpg,False,https://www.yelp.com/biz/gentleman-farmer-coventry?adjust_creative=pzvBKuEUl0Vl1jtHQqJaog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pzvBKuEUl0Vl1jtHQqJaog,24,tradamerican,American (Traditional),3.0,41.663559899999996,-71.60211,['delivery'],$,2405 Nooseneck Hill Rd,,,Coventry,2816,US,RI,"2405 Nooseneck Hill Rd,Coventry, RI 02816",14013920130.0,(401) 392-0130,4534.0067930732
TEkCnwvd6ahfYuLjYHeABA,newport-blues-cafe-newport,Newport Blues Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/N2ZJ_M43lJ_trgJn0upvzA/o.jpg,False,https://www.yelp.com/biz/newport-blues-cafe-newport?adjust_creative=9VzDKP4DqSuZkRYYaMKPjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9VzDKP4DqSuZkRYYaMKPjA,58,"bars,venues,tradamerican","Bars,Venues & Event Spaces,American (Traditional)",3.0,41.485658,-71.314543,['delivery'],$$,286 Thames St,,,Newport,2840,US,RI,"286 Thames St,Newport, RI 02840",14018415510.0,(401) 841-5510,847.1096733578466
syMEjHwysLiiVyZtMp1l0A,fens-express-west-warwick,Fen's Express,https://s3-media1.fl.yelpcdn.com/bphoto/w8JldkVnYUpFsErgAydjkA/o.jpg,False,https://www.yelp.com/biz/fens-express-west-warwick?adjust_creative=1woF1Kwn15wJJxNZkMIAgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1woF1Kwn15wJJxNZkMIAgw,9,"chinese,thai,noodles","Chinese,Thai,Noodles",3.5,41.7156972,-71.5238497,['delivery'],$$,975 Main St,,,West Warwick,2893,US,RI,"975 Main St,West Warwick, RI 02893",14018218336.0,(401) 821-8336,2440.941388126978
fqocnXGgv-Db12PaigBOVg,pacific-asian-cuisine-woonsocket,Pacific Asian Cuisine,https://s3-media3.fl.yelpcdn.com/bphoto/KJpRjrmFeFBs6szoKxNXNQ/o.jpg,False,https://www.yelp.com/biz/pacific-asian-cuisine-woonsocket?adjust_creative=ogtFoSS6DBKYYW1KXs8qsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ogtFoSS6DBKYYW1KXs8qsw,49,"chinese,seafood,thai","Chinese,Seafood,Thai",3.5,42.007911041990006,-71.5029394626617,['delivery'],$,63 Cumberland St,,,Woonsocket,2895,US,RI,"63 Cumberland St,Woonsocket, RI 02895",14015340100.0,(401) 534-0100,1092.407428590925
OKgshVvO2uvlhEFYC_4rfg,moes-southwest-grill-warwick,Moe's Southwest Grill,https://s3-media1.fl.yelpcdn.com/bphoto/gkho6rXpMenZDjm0F-6HnA/o.jpg,False,https://www.yelp.com/biz/moes-southwest-grill-warwick?adjust_creative=1woF1Kwn15wJJxNZkMIAgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1woF1Kwn15wJJxNZkMIAgw,31,"mexican,tex-mex","Mexican,Tex-Mex",3.0,41.686156555299,-71.4983891716966,"['pickup', 'delivery']",$,300 Quaker Ln,Ste 19,,Warwick,2886,US,RI,"300 Quaker Ln,Ste 19,Warwick, RI 02886",14016158640.0,(401) 615-8640,3896.8125816892602
yA6W5wI3iXa1_csqrDNSJQ,morsels-providence,Morsel's,https://s3-media2.fl.yelpcdn.com/bphoto/bPAnUGEAZjhUjcgwnPF-Ag/o.jpg,False,https://www.yelp.com/biz/morsels-providence?adjust_creative=ogtFoSS6DBKYYW1KXs8qsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ogtFoSS6DBKYYW1KXs8qsw,2,cafes,Cafes,3.0,41.825300206280204,-71.4156235181398,[],,1 W Exchange St,Fl 2,,Providence,2903,US,RI,"1 W Exchange St,Fl 2,Providence, RI 02903",14015988000.0,(401) 598-8000,1156.5844292118402
BdKOQXw-dlZgPqCzszqYAg,rhody-roots-warren,Rhody Roots,https://s3-media1.fl.yelpcdn.com/bphoto/UPuBQQilwKtb1nRrbMaodA/o.jpg,False,https://www.yelp.com/biz/rhody-roots-warren?adjust_creative=1woF1Kwn15wJJxNZkMIAgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1woF1Kwn15wJJxNZkMIAgw,27,"newamerican,gluten_free","American (New),Gluten-Free",4.5,41.7289,-71.28235,"['pickup', 'delivery']",$$,511 Main St,,,Warren,2885,US,RI,"511 Main St,Warren, RI 02885",14019039159.0,(401) 903-9159,1911.2859767109617
0lSyeGQuMh-ieObffvMuNQ,salsas-burrito-grill-portsmouth,Salsa's Burrito Grill,https://s3-media1.fl.yelpcdn.com/bphoto/avfR1La853AVHucl8rspZw/o.jpg,False,https://www.yelp.com/biz/salsas-burrito-grill-portsmouth?adjust_creative=HbGs3gi3xS-SfqfxZRDuCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HbGs3gi3xS-SfqfxZRDuCw,38,mexican,Mexican,4.0,41.623459999999994,-71.24421,['delivery'],$,108 Chase Rd,,,Portsmouth,2871,US,RI,"108 Chase Rd,Portsmouth, RI 02871",14012935322.0,(401) 293-5322,4419.610042988228
WPCcCtx1ue5yTrswRHi0tQ,christophers-kitchen-and-bar-woonsocket,Christopher's Kitchen and Bar,https://s3-media1.fl.yelpcdn.com/bphoto/Ui7GhBQAOEEzPMVArOorDQ/o.jpg,False,https://www.yelp.com/biz/christophers-kitchen-and-bar-woonsocket?adjust_creative=ogtFoSS6DBKYYW1KXs8qsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ogtFoSS6DBKYYW1KXs8qsw,31,"bars,mediterranean","Bars,Mediterranean",4.0,41.99990167,-71.51617833,['delivery'],$$,2 S Main St,,,Woonsocket,2895,US,RI,"2 S Main St,Woonsocket, RI 02895",14017663615.0,(401) 766-3615,1418.090759585237
pjI3Xige-FX1ueGHxt4PjQ,georges-breakfast-and-lunch-woonsocket,George's Breakfast & Lunch,https://s3-media3.fl.yelpcdn.com/bphoto/LMBXZZC6uBlTJ9gDDZJaTg/o.jpg,False,https://www.yelp.com/biz/georges-breakfast-and-lunch-woonsocket?adjust_creative=ogtFoSS6DBKYYW1KXs8qsw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ogtFoSS6DBKYYW1KXs8qsw,14,restaurants,Restaurants,4.0,42.0136489868164,-71.5266494750977,[],$,793 Harris Ave,,,Woonsocket,2895,US,RI,"793 Harris Ave,Woonsocket, RI 02895",14017691036.0,(401) 769-1036,2834.4969765265614
